股號,公司,五年內發放次數,最近一次發放,上次紀念品,最近股價,五年紀念品總估值,新版性價比,新版推薦評分,去年條件,五年發放紀念品
1325,恆大,5,2025,立體外科口罩壹盒(不可上架商城),27.5,200,7.27,5 星,電子投票截圖,"(2025)立體外科口罩壹盒(不可上架商城)
(2024)立體醫用口罩壹盒30片
(2023)口罩壹盒(恆大)
(2022)口罩10片入 二包(恆大)
(2021)口罩10片入 二包(恆大)"
1337,再生-KY,5,2025,居慕洗手液,5.83,210,36.02,5 星,電子投票截圖,"(2025)居慕洗手液
(2024)居慕洗手液-小蒼蘭
(2023)居慕抗菌洗手乳-茶樹
(2022)居慕 洋甘菊洗手液
(2021)蜂王綠野草本皂70克二入"
1338,廣華-KY,5,2025,7-11 50元商品卡,15.15,450,29.7,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡100元
(2023)7-11商品卡100元
(2022)7-11商品卡100元
(2021)7-11商品卡100元"
1340,勝悅-KY,5,2025,全家 50元商品卡,7.4,250,23.65,5 星,電子投票截圖和身分證件正本,"(2025)全家 50元商品卡
(2024)全家禮物卡50元
(2023)全家禮物卡50元
(2022)全家禮物卡50元
(2021)7-11商品卡50元"
1409,新纖,2,2025,菱格紳士襪乙雙,16.45,80,1.95,5 星,電子投票截圖,"(2025)菱格紳士襪乙雙
(2023)紳士襪"
1414,東和,5,2025,羊毛保暖圍巾,19.85,240,12.09,5 星,電子投票截圖,"(2025)羊毛保暖圍巾
(2024)襪子(東和)
(2023)脖圍
(2022)健康機能五趾襪
(2021)超細抗起球毬保暖手套"
1416,廣豐,5,2025,毛巾,11.7,300,25.64,5 星,,"(2025)毛巾
(2024)毛巾
(2023)毛巾
(2022)毛巾
(2021)毛巾"
1417,嘉裕,5,2025,機能襪,8.63,200,23.17,5 星,電子投票截圖,"(2025)機能襪
(2024)洗臉馬卡龍
(2023)拭鏡布
(2022)拭鏡布
(2021)竹纖維口罩套"
1418,東華,5,2025,EVA雨衣,18.5,210,7.95,5 星,電子投票截圖和身分證件正本,"(2025)EVA雨衣
(2024)可折疊桌面手機支架(夆典前鼎聯合東華)
(2023)實用原子筆一組
(2022)口罩六入(東華)
(2021)潤膚皂(東華)"
1423,利華,4,2024,不鏽鋼玻璃定量油壺,39.9,250,3.51,5 星,電子投票截圖或身分證件圖片,"(2024)不鏽鋼玻璃定量油壺
(2023)伊莎貝爾櫻花香皂75克一入
(2022)酒精噴霧筆
(2021)日式保溫保冷袋1個"
1432,大魯閣,5,2025,『800元消費抵用券』、『每月玩樂買1送1券』8張,18.85,3780,200.53,5 星,,"(2025)『800元消費抵用券』、『每月玩樂買1送1券』8張
(2024)大魯閣Plus APP 消費抵用券
(2023)大魯閣集團800元消費抵用券及8張每月買一送一券
(2022)『700元消費抵用券』及7張『每月玩樂買1送1券』
(2021)大魯閣集團600元消費抵用券"
1435,中福,6,2024,7-11商品卡35元,19.05,235,14.8,5 星,電子投票截圖,"(2024)7-11商品卡35元
(2024)7-11商品卡35元
(2022)全家禮物卡50元
(2022)7-11商品卡35元
(2022)康寧餐碗組二入
(2021)康寧 VISIONS晶彩琥珀8.5吋深盤二入組"
1440,南紡,2,2025,統一好勁道麵條5入組,12.6,80,1.78,5 星,身分證件正本,"(2025)統一好勁道麵條5入組
(2022)KOLLOS洸動能護芯襪"
1443,立益物流,1,2022,全家禮物卡50元,24.8,50,0.4,3 星,,(2022)全家禮物卡50元
1449,佳和,5,2025,隨機口罩一包(不可上架商城),10.75,320,29.77,5 星,電子投票截圖,"(2025)隨機口罩一包(不可上架商城)
(2024)佳和4D立體醫用口罩5片(未滅菌)
(2023)佳和醫用口罩10片(未滅菌)
(2022)佳和醫用口罩10片(未滅菌)
(2021)防護口罩 三入"
1452,宏益,5,2025,高露潔旅行組(牙刷牙膏20g),11.1,230,20.72,5 星,電子投票截圖,"(2025)高露潔旅行組(牙刷牙膏20g)
(2024)蜂王洋甘菊舒緩潤膚皂70克二入
(2023)伊莎貝爾尤加利潔手慕斯250ml
(2022)抗菌石鹼80克 二入
(2021)蜂王綠野草本皂70克二入"
1463,強盛新,2,2025,7-11 50元商品卡,17.95,100,2.23,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2025)7-11商品卡50元"
1464,得力,1,2023,7-11商品卡50元,10.7,50,0.93,4 星,,(2023)7-11商品卡50元
1466,聚隆,1,2021,防護口罩1盒(10入),18,40,0.44,3 星,,(2021)防護口罩1盒(10入)
1471,首利,5,2025,7-11 35元商品卡,13,175,9.42,5 星,電子投票截圖和身分證件正本,"(2025)7-11 35元商品卡
(2024)7-11商品卡35元
(2023)7-11商品卡35元
(2022)7-11商品卡35元
(2021)7-11商品卡35元"
1503,士電,1,2023,伸縮軟管手電筒,203,40,0.04,1 星,,(2023)伸縮軟管手電筒
1504,東元,3,2024,餐品兌換券 (摩斯/樂雅樂),69.9,240,2.06,5 星,電子投票截圖,"(2024)餐品兌換券 (摩斯/樂雅樂)
(2023)摩斯樂雅樂餐品兌換券 (東元)
(2021)康寧餐碗組二入"
1506,正道,1,2022,燕麥肌膚舒緩柔膚皂 80克,11.45,50,0.87,4 星,,(2022)燕麥肌膚舒緩柔膚皂 80克
1512,瑞利,4,2024,7-11商品卡50元,7.84,250,17.86,5 星,身分證件正本,"(2024)7-11商品卡50元
(2023)超商商品卡50元
(2022)毛寶抗菌洗衣精
(2021)超商商品卡"
1513,中興電,5,2025,小羊苗聯名款真空隨行杯,158,340,2.15,5 星,電子投票截圖,"(2025)小羊苗聯名款真空隨行杯
(2024)蜂和日麗洋甘菊親膚皂80克三入
(2023)皂就幸福 手工皂110克三入
(2022)護手霜套組
(2021)香薰精油禮盒 澳洲尤加利精油5ml+擴香木+甜橙精油5ml"
1514,亞力,5,2025,珪藻土桌墊,115.5,210,1.82,5 星,電子投票截圖,"(2025)珪藻土桌墊
(2024)料理海鹽
(2023)3合1充電線
(2022)幸運草水晶碗
(2021)台鹽鹹淨晶亮牙膏"
1516,川飛,4,2025,7-11 35元商品卡,23.4,155,5.3,5 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)全家禮物卡35元
(2023)全家禮物卡35元
(2022)全家禮物卡50元"
1517,利奇,5,2025,多功能手機支架,11.2,220,19.64,5 星,,"(2025)多功能手機支架
(2024)蜂王洋甘菊舒緩潤膚皂70克二入
(2023)蜂膠草本抗菌皂4入
(2022)依必朗 抗菌洗手乳 220ml
(2021)閃字風扇"
1521,大億,1,2023,全家禮物卡50元,25.05,50,0.4,3 星,,(2023)全家禮物卡50元
1524,耿鼎,5,2025,百利菜瓜布,29.15,200,6.86,5 星,電子投票截圖,"(2025)百利菜瓜布
(2024)菜瓜布爐具鍋具專用
(2023)菜瓜布爐具鍋具專用
(2022)菜瓜布爐具鍋具專用
(2021)細緻餐具菜瓜布"
1526,日馳,5,2025,全家 中杯美式咖啡卡,17.4,250,14.37,5 星,電子投票截圖,"(2025)全家 中杯美式咖啡卡
(2024)7-11商品卡50元
(2023)全家經典中杯美式咖啡券
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
1527,鑽全,5,2025,7-11 35元商品卡,32.5,235,7.23,5 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
1528,恩德,4,2025,7-11 50元商品卡,22.4,200,7.14,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元"
1536,和大,3,2025,7-11 50元商品卡,52.5,150,1.71,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元"
1538,正峰,2,2022,多功能衣架,17.65,80,1.81,5 星,,"(2022)多功能衣架
(2021)多功能衣架"
1540,喬福,5,2025,香皂一顆,22.6,240,10.62,5 星,電子投票截圖,"(2025)香皂一顆
(2024)伊莎貝爾櫻花香皂75克一入
(2023)伊莎貝爾櫻花香皂75克一入
(2022)伊莎貝爾香皂75克1入
(2021)上山採藥 面膜一片"
1558,伸興,3,2025,暖心植樸舒活皂二入,94,190,0.85,4 星,電子投票截圖和身分證件正本,"(2025)暖心植樸舒活皂二入
(2024)7-11商品卡100元
(2021)針線盒"
1563,巧新,3,2025,7-11 50元商品卡,40.7,150,2.21,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元"
1565,精華,4,2025,醫之方晶采金盞花葉黃素 30錠,107.5,160,1.19,4 星,電子投票截圖,"(2025)醫之方晶采金盞花葉黃素 30錠
(2024)醫方晶采金盞花葉黃素 30錠
(2023)醫方晶采金盞花葉黃素 30錠
(2022)醫方晶采金盞花葉黃素 30錠"
1569,濱川,1,2025,7-11 商品卡35元,51,35,0.1,1 星,電子投票截圖和身分證件正本,(2025)7-11 商品卡35元
1570,力肯,5,2025,7-11 50元商品卡,31,290,6.55,5 星,電子投票截圖和身分證件正本,"(2025)7-11 50元商品卡
(2025)超商商品卡 50元
(2024)7-11商品卡100元
(2023)7-11中杯美式或現萃茶提貨卡
(2022)7-11商品卡50元"
1580,新麥,5,2025,7-11 中杯美式咖啡卡,131.5,210,1.6,5 星,電子投票截圖,"(2025)7-11 中杯美式咖啡卡
(2024)7-11中杯美式或現萃茶提貨卡
(2023)7-11中杯美式或現萃茶提貨卡
(2022)7-11中杯美式或現萃茶提貨卡
(2021)7-11中杯美式或現萃茶提貨卡"
1582,信錦,5,2025,7-11 100元商品卡,90.3,400,4.43,5 星,電子投票截圖,"(2025)7-11 100元商品卡
(2024)7-11商品卡100元
(2023)7-11商品卡100元
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
1584,精剛,3,2025,甲魚全沛全方位維他命(10粒),22.65,120,3.18,5 星,電子投票截圖,"(2025)甲魚全沛全方位維他命(10粒)
(2024)甲魚全沛全方位維他命
(2023)犇牛樟芝菌絲體精粹30ml(食品)"
1589,永冠-KY,3,2025,全家 50元商品卡,7.98,150,11.28,5 星,電子投票截圖,"(2025)全家 50元商品卡
(2024)全家禮物卡50元
(2022)全家禮物卡50元"
1591,駿吉-KY,4,2025,全家 50元商品卡,44.5,200,3.6,5 星,電子投票截圖,"(2025)全家 50元商品卡
(2025)全家便利商店禮物卡50元
(2024)全家禮物卡50元
(2023)全家禮物卡50元"
1604,聲寶,5,2025,雨傘,25,750,30,5 星,電子投票截圖,"(2025)雨傘
(2024)多功能晴雨直傘
(2023)多功能晴雨直傘
(2022)多功能晴雨傘(2022)
(2021)多功能晴雨傘(2022)"
1605,華新,6,2025,永續益田米,32.05,360,13.48,5 星,電子投票截圖,"(2025)永續益田米
(2024)千金米 1公斤
(2023)日式瓷碗二入
(2023)千金米 1公斤
(2022)日式瓷碗二入
(2021)千金米 1公斤"
1609,大亞,5,2025,7-11 35元商品卡,35.95,235,6.54,5 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
1611,中電,5,2025,7-11 50元商品卡,13.25,250,18.87,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)全家禮物卡50元"
1702,南僑,2,2022,水晶肥皂液體 櫻花百合1.2kg,35.6,100,1.12,4 星,,"(2022)水晶肥皂液體 櫻花百合1.2kg
(2021)水晶肥皂液體－檸檬香茅 1.2KG"
1707,葡萄王,6,2025,葡萄王靈芝巴西菇菌絲體益菌,119.5,240,2.41,5 星,電子投票截圖,"(2025)葡萄王靈芝巴西菇菌絲體益菌
(2024)葡萄王健力蟲草王60粒
(2023)葡萄王舒敏優靈芝菌絲體膠囊30粒入
(2023)葡萄王纖樂益菌沖泡粉末168克
(2022)葡萄王晚安益生菌膠囊20粒
(2021)葡萄王御品雲芝王菌絲體膠囊(30粒)"
1708,東鹼,5,2025,東南實業小蘇打粉,39.3,220,5.6,5 星,電子投票截圖,"(2025)東南實業小蘇打粉
(2024)小蘇打粉500克
(2023)南僑水晶肥皂150克三入
(2022)純天然小蘇打洗碗精加洗衣精
(2021)彈跳真空保溫瓶"
1709,和益,2,2025,德菲雅掛耳式咖啡,17.1,100,1.64,5 星,電子投票截圖和身分證件正本,"(2025)德菲雅掛耳式咖啡
(2024)德菲雅掛耳式咖啡"
1711,永光,5,2025,無患子慕斯洗手乳,32.3,270,5.85,5 星,電子投票截圖和身分證件正本,"(2025)無患子慕斯洗手乳
(2024)伊莎貝爾尤加利潔手慕斯250ml
(2023)皇家台東米500克
(2022)皇家台東米500克
(2021)伊莎貝爾香皂三入"
1712,興農,5,2025,洗衣槽清潔劑一瓶,46.15,210,4.55,5 星,電子投票截圖,"(2025)洗衣槽清潔劑一瓶
(2024)楓康吳羽保鮮膜20m乙支
(2023)一滴淨洗潔精乙瓶
(2022)一滴淨抗菌洗手乳 400ml
(2021)一滴淨抗菌洗手乳 400ml"
1713,國化,3,2023,磁吸式放大鏡指甲剪,46.9,160,2.05,5 星,,"(2023)磁吸式放大鏡指甲剪
(2022)酒精噴霧筆
(2021)手機支架筆"
1714,和桐,4,2025,全家 50元商品卡,9.23,200,12.13,5 星,電子投票截圖和身分證件正本,"(2025)全家 50元商品卡
(2024)全家禮物卡50元
(2023)全家禮物卡50元
(2022)全家禮物卡50元"
1718,中纖,5,2025,GSH極光感潤澤粉,7.5,200,26.67,5 星,電子投票截圖,"(2025)GSH極光感潤澤粉
(2024)日月養生滴魚精
(2023)極品燕窩銀耳飲
(2022)極品燕窩銀耳飲
(2021)日月養生滴魚精"
1721,三晃,5,2025,7-11 50元商品卡,18.95,250,9.23,5 星,電子投票截圖和身分證件正本,"(2025)7-11 50元商品卡
(2024)全家禮物卡50元
(2023)全家禮物卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
1722,台肥,5,2025,胺基酸深層潔顏慕斯+玻尿酸保濕潤澤化妝水禮盒,47.5,240,5.05,5 星,電子投票截圖,"(2025)胺基酸深層潔顏慕斯+玻尿酸保濕潤澤化妝水禮盒
(2024)深海健康伴手禮2024
(2023)藻健康禮盒
(2022)深海健康伴手禮
(2021)深海健康伴手禮(2021)"
1723,中碳,2,2025,7-11 100元商品卡,76.1,140,0.74,3 星,電子投票截圖,"(2025)7-11 100元商品卡
(2022)環保餐具組(中碳)"
1732,毛寶,2,2023,毛寶葳香洗淨4大病毒洗衣精1000g,26.35,100,1.52,5 星,,"(2023)毛寶葳香洗淨4大病毒洗衣精1000g
(2022)毛寶小蘇打植萃香氛液體皂1000g"
1733,五鼎,5,2025,熊兔保鮮盒,29.1,340,11.68,5 星,電子投票截圖,"(2025)熊兔保鮮盒
(2024)微波保鮮盒
(2023)可拆式環保餐具四件組
(2022)酒精噴霧筆
(2021)6合1工具組"
1734,杏輝,5,2025,茯苓善補膠囊,30.85,200,6.48,5 星,電子投票截圖,"(2025)茯苓善補膠囊
(2024)杏輝 蓉憶記
(2023)杏輝善補膠囊 水溶性維他命 30粒
(2022)杏輝 蓉憶記
(2021)杏輝 蓉憶記"
1737,臺鹽,6,2025,臺鹽洗手露,31.6,280,10.63,5 星,電子投票截圖,"(2025)臺鹽洗手露
(2024)台鹽牙膏150克二入
(2023)絲易康植萃健髮洗髮精(改發牙膏X2)
(2023)台鹽膠原草本固根護理牙膏120克二入
(2022)蓓舒美海藻潤澤皂(3入)
(2021)台鹽防護乾洗手 二入"
1760,寶齡富錦,6,2025,寶齡面膜,59.6,310,4.37,5 星,電子投票截圖和身分證件正本,"(2025)寶齡面膜
(2024)寶齡傳明酸亮膚面膜5片
(2023)寶齡髮細胞清新養髮健髮洗髮精420ml
(2023)(改發髮細胞)寶齡麗碧雅 鋅傳明酸亮膚氣墊粉霜+替換裝
(2022)THE ONE淨化修復洗髮精
(2021)寶齡髮細胞清新養髮健髮洗髮精420ml"
1762,中化生,5,2025,綠的抗菌旅行組合,28.6,280,9.79,5 星,電子投票截圖,"(2025)綠的抗菌旅行組合
(2024)綠的潔淨組合(沐浴乳+潔手乳)
(2023)綠的抗菌組合 潔手露+沐浴露
(2022)中化生防疫精品組
(2021)綠的防疫組"
1781,合世,4,2025,伊莎貝爾櫻花沐浴皂,12.35,170,11.01,5 星,電子投票截圖,"(2025)伊莎貝爾櫻花沐浴皂
(2024)小麥桿環保餐具組
(2023)妙管家洗潔精500g
(2022)菲蘇德美沐浴乳100ml"
1783,和康生,5,2025,至尊膠原面膜限量盲盒,43.3,200,4.62,5 星,電子投票截圖,"(2025)至尊膠原面膜限量盲盒
(2024)花萃透亮面膜五入
(2023)敏節633含玻尿酸乳酸菌膠囊
(2022)Maxi紫花美日C沖泡飲 15包入
(2021)維他命亮澤乳霜面膜"
1784,訊聯,5,2025,Meta Exosome外泌體水光潤澤修護面膜,86.6,200,2.31,5 星,電子投票截圖,"(2025)Meta Exosome外泌體水光潤澤修護面膜
(2024)玫瑰肌因水潤光面膜
(2023)玫瑰肌因水潤光面膜
(2022)玫瑰肌因水潤光面膜
(2021)玫瑰肌因水潤光面膜"
1785,光洋科,6,2025,沙威隆抗菌組,82,515,7.54,5 星,電子投票截圖,"(2025)沙威隆抗菌組
(2024)7-11商品卡35元
(2023)7-11商品卡50元
(2022)Luminarc樂美雅時尚餐盤二入組
(2021)7-11商品卡50元
(2021)超商卡300元"
1786,科妍,5,2025,7-11 35元商品卡,65.7,190,2.89,5 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)7-11商品卡35元
(2023)玻尿酸面膜1盒(2片裝)
(2022)玻尿酸面膜1盒(2片裝)
(2021)玻尿酸面膜1盒(2片裝)"
1809,中釉,2,2025,高露潔旅行組(牙刷牙膏20g),26,100,1.54,5 星,電子投票截圖,"(2025)高露潔旅行組(牙刷牙膏20g)
(2024)毛寶洗碗精(潔淨強化) 450克"
1815,富喬,5,2025,不鏽鋼玻璃調味罐,107.5,420,3.91,5 星,電子投票截圖,"(2025)不鏽鋼玻璃調味罐
(2024)不鏽鋼環保筷 (富喬)
(2023)華南共生米300克
(2022)精緻開運鏟匙
(2021)華南共生米 300克"
1904,正隆,5,2025,春風抽取式衛生紙(6包散裝),17.3,150,8.67,5 星,寄單(開會通知書),"(2025)春風抽取式衛生紙(6包散裝)
(2024)春風三層抽取式廚紙一串3包
(2023)春風抽取式衛生紙110抽8包
(2022)春風3層抽取式衛生紙 100抽10包
(2021)春風絲絨感山茶花衛生紙100抽8包"
1907,永豐餘,2,2024,GREEN&SAFE 永續月桃洗髮皂組,23.9,170,1.99,5 星,身分證件正本,"(2024)GREEN&SAFE 永續月桃洗髮皂組
(2021)GREEN&SAFE 黑豆純釀蔭油禮盒"
1909,榮成,5,2025,環保杯,9.24,200,21.65,5 星,電子投票截圖,"(2025)環保杯
(2024)靜思環保杯290cc
(2023)榮成環保袋
(2022)環保杯
(2021)榮成環保袋"
2002,中鋼,5,2025,輕巧冷水瓶,19.1,450,23.56,5 星,電子投票截圖,"(2025)輕巧冷水瓶
(2024)砧心有您
(2023)傘Q
(2022)精緻鈦ONE戶外型環保餐具
(2021)熊愛台灣棘輪起子工具組"
2006,東和鋼鐵,1,2023,不鏽鋼環保餐具(東鋼),77.7,120,0.31,2 星,,(2023)不鏽鋼環保餐具(東鋼)
2012,春雨,4,2025,甲魚全沛全方位維他命(10粒),15.05,160,8.5,5 星,電子投票截圖,"(2025)甲魚全沛全方位維他命(10粒)
(2024)甲魚全沛全方位維他命
(2023)甲魚全沛全方位維他命
(2022)德國雙人指甲鉗"
2013,中鋼構,1,2023,鍋寶超真空燜燒罐840ml,43.9,40,0.18,2 星,,(2023)鍋寶超真空燜燒罐840ml
2014,中鴻,5,2025,7-11 50元商品卡,17.35,430,24.78,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡100元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)熊愛台灣棘輪起子工具組"
2020,美亞,2,2025,全家 50元商品卡,23.8,100,1.68,5 星,電子投票截圖,"(2025)全家 50元商品卡
(2022)全家禮物卡50元"
2022,聚亨,4,2025,保溫保冷袋,9.05,190,16.8,5 星,電子投票截圖,"(2025)保溫保冷袋
(2024)蜂王洋甘菊舒緩潤膚皂60克二入
(2023)蜂王草本植舒亮澤皂60克二入
(2022)蜂王橄欖潤澤草本皂二入"
2023,燁輝,2,2025,不鏽鋼野營杯四入組,14.55,240,6.6,5 星,電子投票截圖,"(2025)不鏽鋼野營杯四入組
(2022)不鏽鋼保鮮盒"
2024,志聯,5,2025,7-11 35元商品卡,14.75,200,13.56,5 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡35元
(2022)萬用工具
(2021)萬用工具"
2025,千興,6,2025,蘆薈香皂,10.6,285,32.26,5 星,電子投票截圖,"(2025)蘆薈香皂
(2024)全家禮物卡35元
(2024)伊莎貝爾涼感運動香皂94克
(2023)歐風精華皂一入
(2022)伊莎貝爾香氛皂80克1入(隨機出貨)
(2021)白雪葡萄籽美容香皂 二入"
2030,彰源,5,2025,運動休閒毛巾襪,15.35,220,14.33,5 星,電子投票截圖,"(2025)運動休閒毛巾襪
(2024)防護口罩 彰源20入
(2023)防護口罩 彰源20入
(2022)防護口罩 彰源10入
(2021)防護口罩 彰源10入"
2031,新光鋼,5,2025,毛寶好無比洗衣精,39.15,230,5.87,5 星,電子投票截圖,"(2025)毛寶好無比洗衣精
(2024)妙管家公道先生洗潔精(500g)
(2023)毛寶洗碗精(潔淨強化) 450克
(2022)好無比繽紛花園香氛洗衣精(500g)
(2021)妙管家公道先生洗潔精(500g)"
2035,唐榮,2,2024,抗菌不鏽鋼湯匙或叉子,28.2,160,1.59,5 星,電子投票截圖或身分證件圖片,"(2024)抗菌不鏽鋼湯匙或叉子
(2021)抗菌福祿單層杯"
2065,世豐,3,2025,7-11 50元商品卡,30.95,150,2.91,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元"
2102,泰豐,5,2025,7-11 50元商品卡,18.7,230,12.3,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2025)超商商品卡(50元)
(2024)7-11商品卡50元
(2021)愛佳寶雙面砧板
(2021)RICO真瓷保溫杯450ml"
2103,台橡,2,2024,減碳行動杯,21.7,80,1.47,4 星,電子投票截圖,"(2024)減碳行動杯
(2021)多功能微粒子U型護頸枕"
2104,國際中橡,5,2025,環保餐具組(2104),12.4,360,29.03,5 星,電子投票截圖,"(2025)環保餐具組(2104)
(2024)餐具組(台泥中橡)
(2023)分隔便當盒
(2022)環保不鏽鋼保溫瓶
(2021)竹蓋玻璃保鮮盒三件組"
2107,厚生,5,2025,FRG手提袋,25,200,8,5 星,電子投票截圖,"(2025)FRG手提袋
(2024)旅用隨行小拉鍊袋
(2023)輕巧手提袋
(2022)時尚文書袋
(2021)工作圍裙"
2108,南帝,2,2025,珍珍休閒食品,25.85,80,0.87,4 星,身分證件正本,"(2025)珍珍休閒食品
(2022)珍珍休閒食品四入"
2109,華豐,3,2025,超商商品卡50元,15.1,150,5.96,5 星,電子投票截圖,"(2025)超商商品卡50元
(2022)毛寶好無比 超淨亮/繽紛花園 洗衣精500ml
(2021)7-11商品卡50元"
2206,三陽工業,5,2025,餐具套組,58,210,3.62,5 星,電子投票截圖,"(2025)餐具套組
(2024)摺疊椅(三陽)
(2023)Lynx真空環保隨行杯(附布套)
(2022)小熊保溫保冷提袋
(2021)伊莎貝爾手工香皂四入(三陽)"
2208,台船,5,2025,7-11 中杯拿鐵或大杯美式咖啡券,21.5,250,8.14,5 星,電子投票截圖和身分證件正本,"(2025)7-11 中杯拿鐵或大杯美式咖啡券
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元"
2211,長榮鋼,1,2022,鍋寶超真空燜燒罐840ml,103,40,0.08,1 星,,(2022)鍋寶超真空燜燒罐840ml
2233,宇隆,4,2025,松村窯日式簡約5碗,226.5,280,0.99,4 星,電子投票截圖,"(2025)松村窯日式簡約5碗
(2022)7-11商品卡100元
(2022)Luminarc 卡潤強化餐盤三入
(2021)7-11商品卡100元"
2241,艾姆勒,1,2025,7-11 50元商品卡,28.9,50,0.35,2 星,電子投票截圖,(2025)7-11 50元商品卡
2303,聯電,5,2025,咖波聯名限定鋼珠筆套組,59.5,220,2.59,5 星,電子投票截圖和身分證件正本,"(2025)咖波聯名限定鋼珠筆套組
(2024)UMC x 咖波聯名限定永續隨行杯
(2023)UMCx咖波聯名限定愛地球碗組
(2022)角落小夥伴帆布包
(2021)角落小夥伴帆布包(2021)"
2312,金寶,5,2025,杜邦提袋,22.8,200,8.77,5 星,電子投票截圖,"(2025)杜邦提袋
(2024)計算機
(2023)計算機
(2022)戶外折疊運動水壺
(2021)藍色收納袋"
2313,華通,5,2025,水晶肥皂洗衣液,211.5,230,1.09,4 星,電子投票截圖,"(2025)水晶肥皂洗衣液
(2024)南僑水晶肥皂葡萄籽抗菌防霉洗衣液體皂-室內晾
(2023)南僑葡萄柚籽抗菌洗手液320克
(2022)南僑水晶肥皂食器洗滌液體250ml
(2021)南僑葡萄柚籽抗菌洗手液320克"
2314,台揚,6,2025,蜂王草本皂二入,16.75,250,12.54,5 星,電子投票截圖或身分證件圖片,"(2025)蜂王草本皂二入
(2025)伊莎貝爾無患子洗手乳(250ml)
(2024)7-11商品卡20元
(2024)蜂王草本皂二入
(2023)毛寶洗碗精(潔淨強化) 450克
(2022)黑色馬克杯1入"
2316,楠梓電,5,2025,樂曼尼寶貝兔方形2碗2匙,91.4,280,2.14,5 星,電子投票截圖和身分證件正本,"(2025)樂曼尼寶貝兔方形2碗2匙
(2024)雅典娜複合式餐盒1.3L
(2023)瑪露塔單層保溫飯盒
(2022)環保砧板
(2021)不鏽鋼點心碗"
2317,鴻海,1,2025,鴻海股東2025年專屬購物優惠(需登入官網領取),214.5,40,0.04,1 星,,(2025)鴻海股東2025年專屬購物優惠(需登入官網領取)
2323,中環,5,2025,水晶肥皂洗衣精,10.5,250,23.81,5 星,電子投票截圖,"(2025)水晶肥皂洗衣精
(2024)水晶肥皂洗衣精補充包 櫻花百合 500克
(2023)南僑水晶洗衣用肥皂液體
(2022)水晶肥皂洗衣精補充包 櫻花百合 500克
(2021)水晶肥皂洗衣精補充包 櫻花百合 500克"
2327,國巨*,4,2025,妙管家洗衣球,258,170,0.53,3 星,電子投票截圖,"(2025)妙管家洗衣球
(2024)伊莎貝爾無患子洗手乳250ml
(2023)妙管家洗潔精500g
(2022)妙管家洗潔精500g"
2328,廣宇,5,2025,7-11 35元商品卡,46.1,175,3.8,5 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)7-11商品卡35元
(2023)7-11商品卡35元
(2022)7-11商品卡35元
(2021)7-11商品卡35元"
2329,華泰,5,2025,戶外用摺疊手柄不鏽鋼杯,52.6,310,5.89,5 星,電子投票截圖,"(2025)戶外用摺疊手柄不鏽鋼杯
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)小熊保溫保冷提袋
(2021)7-11商品卡50元"
2331,精英,1,2021,全家禮物卡35元,23.7,35,0.3,2 星,,(2021)全家禮物卡35元
2332,友訊,5,2025,常健順暢益生菌,15.1,210,13.91,5 星,電子投票截圖,"(2025)常健順暢益生菌
(2024)加捷清廢茶茶包(5g)x2包(食品)
(2023)多功能扣式雙層手提餐盒
(2022)7-11商品卡50元
(2021)鍋寶鮮匯玻璃碗(四入)"
