股號,公司,五年內發放次數,最近一次發放,上次紀念品,最近股價,五年紀念品總估值,新版性價比,新版推薦評分,去年條件,五年發放紀念品
8071,能率網通,4,2025,稻回皂,16.7,200,9.58,5 星,電子投票截圖,"(2025)稻回皂
(2024)奇蹟蘭花洗衣膠囊4顆
(2023)蘭花除臭環保洗衣膠囊4顆裝
(2022)深層海水萃取抗敏感牙膏30克"
8074,鉅橡,3,2025,防靜電高級電木梳1支,61.9,130,1.26,4 星,電子投票截圖,"(2025)防靜電高級電木梳1支
(2024)7-11中杯美式或現萃茶提貨卡
(2023)全家禮物卡50元"
8076,伍豐,5,2025,7-11 100元商品卡,25.25,500,19.8,5 星,電子投票截圖,"(2025)7-11 100元商品卡
(2024)全家禮物卡100元
(2023)全家禮物卡100元
(2022)全家禮物卡100元
(2021)全家禮物卡100元"
8080,泰霖,2,2024,伊莎貝爾無患子洗手乳250ml,30.9,80,1.04,4 星,電子投票截圖,"(2024)伊莎貝爾無患子洗手乳250ml
(2021)伊莎貝爾無患子洗手乳250ml"
8085,福華,2,2025,7-11 50元商品卡,17.55,80,1.82,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2021)面紙一包80抽"
8086,宏捷科,5,2025,統一超商50元商品卡,136.5,250,1.83,5 星,電子投票截圖,"(2025)統一超商50元商品卡 
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)全家企業禮贈卡50元(宏捷 期限9/30)"
8087,麗升能源,1,2025,香草手工皂禮盒(2顆),32.45,50,0.31,2 星,電子投票截圖,(2025)香草手工皂禮盒(2顆)
8088,品安,5,2025,統一超商商品卡35元,56,185,3.3,5 星,電子投票截圖,"(2025)統一超商商品卡35元
(2024)7-11商品卡35元
(2023)7-11商品卡35元
(2022)防疫口罩10入(品安)
(2021)防疫口罩10入(品安)"
8089,康全電訊,5,2025,蜂王小草本皂二入,23.85,250,10.48,5 星,電子投票截圖,"(2025)蜂王小草本皂二入
(2024)蜂王洋甘菊舒緩潤膚皂70克二入
(2023)蜂王洋甘菊舒緩潤膚皂70克二入
(2022)蜂王橄欖潤澤草本皂二入
(2021)蜂王植萃天然皂 70克二入組"
8091,翔名,1,2022,全家禮物卡50元,135.5,50,0.07,1 星,,(2022)全家禮物卡50元
8092,建暐,2,2025,口罩一盒(30入)(不可上架商城),13.3,80,2.41,5 星,電子投票截圖,"(2025)口罩一盒(30入)(不可上架商城)
(2024)康乃馨口罩一盒30入"
8096,擎亞,5,2025,7-11 50元商品卡,75.7,250,3.3,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
8097,常珵,1,2023,7-11商品卡100元,59.9,100,0.33,2 星,,(2023)7-11商品卡100元
8099,大世科,2,2025,全家 100元商品卡,59.8,200,0.94,4 星,電子投票截圖和身分證件正本,"(2025)全家 100元商品卡
(2024)7-11商品卡100元X3"
8101,華冠,3,2024,全家禮物卡35元,15,105,2.94,5 星,電子投票截圖和身分證件正本,"(2024)全家禮物卡35元
(2023)全家禮物卡35元
(2022)全家禮物卡35元"
8103,瀚荃,5,2025,木製精巧手機座,85.4,210,1.72,5 星,電子投票截圖和身分證件正本,"(2025)木製精巧手機座
(2024)EPVRE草本洗手液 檸檬馬鞭草200ML
(2023)3合1多功能充電線120cm
(2022)艾草抗菌滋潤液體皂
(2021)茶樹精油潔淨噴霧"
8104,錸寶,4,2025,除霉凝膠,34.7,270,6.22,5 星,電子投票截圖,"(2025)除霉凝膠
(2024)折疊傘
(2023)香氛噴霧400ml
(2022)隨身型防蚊液100ml"
8107,大億金茂,2,2025,全家 35元商品卡,13.7,70,2.04,5 星,電子投票截圖,"(2025)全家 35元商品卡
(2024)全家禮物卡35元"
